env,variant,method,lambda,beta,sample_200_mean,sample_200_std,greedy_400_mean,greedy_400_std,seeds
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,1.78076171875,0.04298816589034953,2.0,0.0,8
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,1.83251953125,0.036248100494077076,2.0,0.0,8
delayed_lever,abs_lam0.90_beta0.25,acct,0.9,0.25,1.80517578125,0.040756131325244624,2.0,0.0,8
delayed_lever,abs_lam0.90_beta0.75,acct,0.9,0.75,1.82470703125,0.037080452339186894,2.0,0.0,8
delayed_lever,abs_lam0.90_beta1.25,acct,0.9,1.25,1.859375,0.0482781527121417,2.0,0.0,8
delayed_lever,abs_lam0.99_beta0.75,acct,0.99,0.75,1.8271484375,0.03760716701947208,2.0,0.0,8
delayed_lever,dir_lam0.90_beta0.75,directional_acct,0.9,0.75,1.8369140625,0.04478366987421133,2.0,0.0,8
delayed_lever,dir_lam0.90_beta1.25,directional_acct,0.9,1.25,1.8818359375,0.03530513180180707,2.0,0.0,8
pair_gate,abs_lam0.00_beta0.75,acct,0.0,0.75,1.498046875,0.115112930355482,2.0,0.0,8
pair_gate,abs_lam0.50_beta0.75,acct,0.5,0.75,1.5709635416666665,0.0851820289407953,2.0,0.0,8
pair_gate,abs_lam0.90_beta0.25,acct,0.9,0.25,1.4811197916666665,0.06745432623180776,2.0,0.0,8
pair_gate,abs_lam0.90_beta0.75,acct,0.9,0.75,1.5813802083333333,0.08271816806951206,2.0,0.0,8
pair_gate,abs_lam0.90_beta1.25,acct,0.9,1.25,1.66015625,0.04501142192042605,2.0,0.0,8
pair_gate,abs_lam0.99_beta0.75,acct,0.99,0.75,1.5709635416666665,0.08581657764625049,2.0,0.0,8
pair_gate,dir_lam0.90_beta0.75,directional_acct,0.9,0.75,1.6204427083333333,0.09354859369651419,2.0,0.0,8
pair_gate,dir_lam0.90_beta1.25,directional_acct,0.9,1.25,1.701171875,0.06346571087798722,2.0,0.0,8
