env,method,relevant_mass,relevant_coverage,irrelevant_active,seeds,samples_per_seed
delayed_lever,shared,0.2000,0.9998,0.9998,32,256
delayed_lever,final_step_cf,0.0000,0.0000,0.0000,32,256
delayed_lever,uniform_transport,0.1878,0.9998,0.9998,32,256
delayed_lever,cf_transport,0.9998,0.9998,0.0000,32,256
delayed_lever,return_eq_cf_transport,0.9423,0.9423,0.0000,32,256
delayed_lever,agent_time_cf,1.0000,1.0000,0.0000,32,256
delayed_lever,sampled_agent_time_shapley,1.0000,1.0000,0.0000,32,256
delayed_lever,acct,1.0000,1.0000,0.0000,32,256
delayed_lever,directional_acct,1.0000,1.0000,0.0000,32,256
delayed_lever,learned_cf_transport,0.7440,0.9998,0.9997,32,256
delayed_lever,learned_return_eq_cf_transport,0.7336,0.9423,0.9423,32,256
delayed_lever,learned_agent_time_cf,0.7565,1.0000,1.0000,32,256
delayed_lever,learned_acct,0.7733,1.0000,1.0000,32,256
delayed_lever,learned_directional_acct,0.7638,1.0000,1.0000,32,256
delayed_lever,learned_pruned_acct,0.9392,0.8946,0.0264,32,256
pair_gate,shared,0.2496,0.9983,0.9983,32,256
pair_gate,final_step_cf,0.4983,0.0830,0.0000,32,256
pair_gate,uniform_transport,0.2496,0.9983,0.9983,32,256
pair_gate,cf_transport,0.9871,0.5123,0.0149,32,256
pair_gate,return_eq_cf_transport,0.5737,0.3557,0.0000,32,256
pair_gate,agent_time_cf,0.9851,0.4980,0.0000,32,256
pair_gate,sampled_agent_time_shapley,1.0000,0.9414,0.0000,32,256
pair_gate,acct,0.9888,0.5129,0.0149,32,256
pair_gate,directional_acct,0.9888,0.5129,0.0149,32,256
pair_gate,learned_cf_transport,0.7787,0.9983,0.9983,32,256
pair_gate,learned_return_eq_cf_transport,0.4678,0.5737,0.5737,32,256
pair_gate,learned_agent_time_cf,0.7805,1.0000,1.0000,32,256
pair_gate,learned_acct,0.7980,1.0000,1.0000,32,256
pair_gate,learned_directional_acct,0.7892,1.0000,1.0000,32,256
pair_gate,learned_pruned_acct,0.9707,0.7133,0.0400,32,256
