env,perturbation,method,sample_200_mean,sample_200_std,greedy_final_mean,greedy_final_std,seeds
delayed_lever,noise_0.10,perturbed_acct,1.8208,0.0576,2.0000,0.0000,16
delayed_lever,noise_0.10,perturbed_agent_time_cf,1.7942,0.0518,2.0000,0.0000,16
delayed_lever,noise_0.25,perturbed_acct,1.8115,0.0584,2.0000,0.0000,16
delayed_lever,noise_0.25,perturbed_agent_time_cf,1.7869,0.0618,2.0000,0.0000,16
delayed_lever,scale_0.25,perturbed_acct,1.2993,0.0787,2.0000,0.0000,16
delayed_lever,scale_0.25,perturbed_agent_time_cf,0.9570,0.0808,2.0000,0.0000,16
delayed_lever,scale_1.00,perturbed_acct,1.8442,0.0466,2.0000,0.0000,16
delayed_lever,scale_1.00,perturbed_agent_time_cf,1.7957,0.0535,2.0000,0.0000,16
delayed_lever,scale_4.00,perturbed_acct,1.9631,0.0242,2.0000,0.0000,16
delayed_lever,scale_4.00,perturbed_agent_time_cf,1.9585,0.0275,2.0000,0.0000,16
pair_gate,noise_0.10,perturbed_acct,1.4880,0.0727,2.0000,0.0000,16
pair_gate,noise_0.10,perturbed_agent_time_cf,1.4206,0.0887,2.0000,0.0000,16
pair_gate,noise_0.25,perturbed_acct,1.4482,0.1126,2.0000,0.0000,16
pair_gate,noise_0.25,perturbed_agent_time_cf,1.4225,0.0800,2.0000,0.0000,16
pair_gate,scale_0.25,perturbed_acct,0.5960,0.0940,2.0000,0.0000,16
pair_gate,scale_0.25,perturbed_agent_time_cf,0.4508,0.0675,2.0000,0.0000,16
pair_gate,scale_1.00,perturbed_acct,1.5814,0.0709,2.0000,0.0000,16
pair_gate,scale_1.00,perturbed_agent_time_cf,1.4199,0.0927,2.0000,0.0000,16
pair_gate,scale_4.00,perturbed_acct,1.9440,0.0428,2.0000,0.0000,16
pair_gate,scale_4.00,perturbed_agent_time_cf,1.9375,0.0390,2.0000,0.0000,16
