env,critic_samples,seed,holdout,mse,r2
delayed_lever,128,0,512,0.073297,0.661000
delayed_lever,128,1,512,0.064760,0.601382
delayed_lever,128,2,512,0.059404,0.696006
delayed_lever,128,3,512,0.084122,0.571768
delayed_lever,128,4,512,0.064746,0.650441
delayed_lever,128,5,512,0.069853,0.541960
delayed_lever,128,6,512,0.071266,0.623723
delayed_lever,128,7,512,0.070294,0.653118
delayed_lever,512,0,512,0.027029,0.815838
delayed_lever,512,1,512,0.034460,0.813772
delayed_lever,512,2,512,0.035904,0.841616
delayed_lever,512,3,512,0.037397,0.833603
delayed_lever,512,4,512,0.035814,0.814151
delayed_lever,512,5,512,0.032519,0.841001
delayed_lever,512,6,512,0.031660,0.831219
delayed_lever,512,7,512,0.034146,0.853785
delayed_lever,2048,0,512,0.020867,0.896125
delayed_lever,2048,1,512,0.020996,0.885766
delayed_lever,2048,2,512,0.021753,0.871788
delayed_lever,2048,3,512,0.021237,0.869005
delayed_lever,2048,4,512,0.021378,0.891538
delayed_lever,2048,5,512,0.022564,0.885962
delayed_lever,2048,6,512,0.021432,0.893586
delayed_lever,2048,7,512,0.023574,0.903506
delayed_lever,8192,0,512,0.022137,0.892808
delayed_lever,8192,1,512,0.021549,0.898155
delayed_lever,8192,2,512,0.019684,0.892201
delayed_lever,8192,3,512,0.020056,0.893175
delayed_lever,8192,4,512,0.021100,0.896900
delayed_lever,8192,5,512,0.020258,0.894157
delayed_lever,8192,6,512,0.020526,0.900411
delayed_lever,8192,7,512,0.019379,0.893366
pair_gate,128,0,512,0.030354,0.532196
pair_gate,128,1,512,0.044995,0.639705
pair_gate,128,2,512,0.028460,0.654630
pair_gate,128,3,512,0.037895,0.565619
pair_gate,128,4,512,0.038075,0.460039
pair_gate,128,5,512,0.036825,0.582150
pair_gate,128,6,512,0.056071,0.458299
pair_gate,128,7,512,0.048949,0.548888
pair_gate,512,0,512,0.031424,0.693614
pair_gate,512,1,512,0.023575,0.811593
pair_gate,512,2,512,0.022962,0.801422
pair_gate,512,3,512,0.021255,0.742069
pair_gate,512,4,512,0.020938,0.801567
pair_gate,512,5,512,0.027403,0.763300
pair_gate,512,6,512,0.019277,0.774604
pair_gate,512,7,512,0.022744,0.713427
pair_gate,2048,0,512,0.013840,0.880404
pair_gate,2048,1,512,0.015414,0.872141
pair_gate,2048,2,512,0.012902,0.883480
pair_gate,2048,3,512,0.011543,0.885142
pair_gate,2048,4,512,0.012299,0.887427
pair_gate,2048,5,512,0.018363,0.864024
pair_gate,2048,6,512,0.007671,0.901771
pair_gate,2048,7,512,0.012891,0.869788
pair_gate,8192,0,512,0.005570,0.915400
pair_gate,8192,1,512,0.010197,0.893657
pair_gate,8192,2,512,0.005629,0.918400
pair_gate,8192,3,512,0.011029,0.889244
pair_gate,8192,4,512,0.008829,0.904556
pair_gate,8192,5,512,0.011657,0.893444
pair_gate,8192,6,512,0.006981,0.905374
pair_gate,8192,7,512,0.010102,0.895204
