env,method,sample_auc_mean,sample_auc_std,greedy_auc_mean,greedy_auc_std,threshold,first_sample_ge_threshold_median,first_sample_ge_threshold_success,first_greedy_ge_threshold_median,first_greedy_ge_threshold_success,seeds
delayed_lever,acct,1.8040,0.0105,2.0000,0.0000,1.500,100.0,1.0000,1.0,1.0000,32
delayed_lever,agent_time_cf,1.7662,0.0111,2.0000,0.0000,1.500,120.0,1.0000,1.0,1.0000,32
delayed_lever,cf_transport,1.3597,0.0685,1.9112,0.0596,1.500,400.0,1.0000,60.0,1.0000,32
delayed_lever,final_step_cf,0.5608,0.0069,0.2500,0.0000,1.500,nan,0.0000,nan,0.0000,32
delayed_lever,learned_acct,1.7702,0.0100,1.9963,0.0064,1.500,120.0,1.0000,1.0,1.0000,32
delayed_lever,learned_agent_time_cf,1.7185,0.0112,1.9963,0.0064,1.500,140.0,1.0000,1.0,1.0000,32
delayed_lever,learned_cf_transport,1.3053,0.0546,1.9522,0.0372,1.500,440.0,1.0000,40.0,1.0000,32
delayed_lever,learned_return_eq_cf_transport,0.7193,0.0500,1.8378,0.1333,1.500,nan,0.0000,60.0,1.0000,32
delayed_lever,return_eq_cf_transport,0.6211,0.0340,1.1804,0.3576,1.500,nan,0.0000,110.0,1.0000,32
delayed_lever,sampled_agent_time_shapley,1.7638,0.0107,2.0000,0.0000,1.500,120.0,1.0000,1.0,1.0000,32
delayed_lever,shared,1.7560,0.0259,1.9725,0.0225,1.500,120.0,1.0000,20.0,1.0000,32
delayed_lever,uniform_transport,0.6879,0.0145,1.9742,0.0206,1.500,nan,0.0000,20.0,1.0000,32
pair_gate,acct,1.6384,0.0180,1.9819,0.0055,1.500,190.0,1.0000,20.0,1.0000,32
pair_gate,agent_time_cf,1.5757,0.0195,1.9819,0.0055,1.500,220.0,1.0000,20.0,1.0000,32
pair_gate,cf_transport,0.7728,0.0699,1.9501,0.0320,1.500,720.0,0.9375,40.0,1.0000,32
pair_gate,final_step_cf,0.3348,0.0084,0.3314,0.0020,1.500,nan,0.0000,nan,0.0000,32
pair_gate,learned_acct,1.5345,0.0182,1.9916,0.0104,1.500,240.0,1.0000,1.0,1.0000,32
pair_gate,learned_agent_time_cf,1.4342,0.0212,1.9916,0.0104,1.500,280.0,1.0000,1.0,1.0000,32
pair_gate,learned_cf_transport,0.6452,0.0512,1.9594,0.0299,1.500,800.0,0.0625,20.0,1.0000,32
pair_gate,learned_return_eq_cf_transport,0.4073,0.0191,1.9510,0.0392,1.500,nan,0.0000,20.0,1.0000,32
pair_gate,return_eq_cf_transport,0.3777,0.0150,1.9100,0.0787,1.500,nan,0.0000,40.0,1.0000,32
pair_gate,sampled_agent_time_shapley,1.5802,0.0179,1.9953,0.0076,1.500,220.0,1.0000,1.0,1.0000,32
pair_gate,shared,1.5579,0.0539,1.9476,0.0320,1.500,240.0,1.0000,40.0,1.0000,32
pair_gate,uniform_transport,0.3113,0.0072,1.9491,0.0329,1.500,nan,0.0000,40.0,1.0000,32
