metric,mean,std,seeds
q_mse,0.036268383555357664,0.014274244694333721,8
q_r2,-0.051687028926746384,0.5029779405151052,8
v_mse,0.03538688856609111,0.010703727780421947,8
v_r2,-0.03716088693095344,0.4592637700100731,8
mean_abs_influence,0.014561934775362412,0.0016646826582200638,8
p95_abs_influence,0.03541613742709159,0.003833769839054686,8
mean_action_spread,0.016902968892160666,0.0021656829682996136,8
time_abs_influence_abs_gae_corr,0.029310159901054483,0.05318247874360682,8
signed_influence_gae_corr,-0.0032877339224273087,0.027057957780968055,8
acct_credit_gae_corr,0.13357162994012772,0.027096759835272044,8
